aircraft,aircraftLabel,engine,engineLabel,maxAltitude,price,totalProduced
http://www.wikidata.org/entity/Q700727,Nakajima Ki-44 Shoki,http://www.wikidata.org/entity/Q11044096,Nakajima Ha-5,,,1225
http://www.wikidata.org/entity/Q502126,Воут F-8 «Крусейдер»,http://www.wikidata.org/entity/Q1969611,J57,11700,,1219
http://www.wikidata.org/entity/Q29251,McDonnell Douglas F-15 Eagle,http://www.wikidata.org/entity/Q1154115,Pratt & Whitney F100,,,1198
http://www.wikidata.org/entity/Q199570,МиГ-25,http://www.wikidata.org/entity/Q2551425,Р15Б-300,20700,,1190
http://www.wikidata.org/entity/Q1538894,Ла-11,http://www.wikidata.org/entity/Q1050634,АШ-82,,,1182
http://www.wikidata.org/entity/Q756036,Як-28,http://www.wikidata.org/entity/Q647286,Р-11-300,,,1180
http://www.wikidata.org/entity/Q316321,Heinkel He 177,http://www.wikidata.org/entity/Q1157613,Daimler-Benz DB 605,8000,,1169
http://www.wikidata.org/entity/Q746313,Су-9,http://www.wikidata.org/entity/Q1075763,АЛ-7,,,1150
http://www.wikidata.org/entity/Q218387,Mitsubishi F1M,http://www.wikidata.org/entity/Q15217633,Nakajima Hikari 1,,,1148
http://www.wikidata.org/entity/Q218387,Mitsubishi F1M,http://www.wikidata.org/entity/Q3317199,Mitsubishi Zuisei,,,1148
http://www.wikidata.org/entity/Q15623287,Boeing 737-300,http://www.wikidata.org/entity/Q21111537,CFM International CFM56-3,,,1113
http://www.wikidata.org/entity/Q15623287,Boeing 737-300,http://www.wikidata.org/entity/Q15623289,CFM56-3B1,,,1113
http://www.wikidata.org/entity/Q3007842,Curtiss HS,http://www.wikidata.org/entity/Q1738041,Liberty L-12,,,1091
http://www.wikidata.org/entity/Q128631,Junkers Ju 188,http://www.wikidata.org/entity/Q659617,Junkers Jumo 213,,,1076
http://www.wikidata.org/entity/Q842481,Northrop F-89 Scorpion,http://www.wikidata.org/entity/Q478153,Allison J35,15000,,1052
http://www.wikidata.org/entity/Q696356,Mitsubishi G3M,http://www.wikidata.org/entity/Q2723523,Mitsubishi Kinsei,,,1048
http://www.wikidata.org/entity/Q172957,Ту-154,http://www.wikidata.org/entity/Q3199364,НК-8,,,1026
http://www.wikidata.org/entity/Q172957,Ту-154,http://www.wikidata.org/entity/Q1049409,Д-30,,,1026
http://www.wikidata.org/entity/Q891786,Bombardier CRJ200,http://www.wikidata.org/entity/Q1501603,General Electric CF34,,,1021
http://www.wikidata.org/entity/Q505663,Яковлев Як-40,http://www.wikidata.org/entity/Q432654,АИ-25,6000,,1011
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q1501584,General Electric GEnx,13100,,1005
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q129136,Trent 1000,13100,,1005
http://www.wikidata.org/entity/Q657597,Convair F-102 Delta Dagger,http://www.wikidata.org/entity/Q1969611,J57,16300,,1000
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q1501584,General Electric GEnx,13100,,972
http://www.wikidata.org/entity/Q6428,Boeing 787 Dreamliner,http://www.wikidata.org/entity/Q129136,Trent 1000,13100,,972
http://www.wikidata.org/entity/Q520964,English Electric Canberra,http://www.wikidata.org/entity/Q2164321,Rolls-Royce Avon,15000,,950
http://www.wikidata.org/entity/Q142549,Ил-76,http://www.wikidata.org/entity/Q615977,ПС-90А,,,950
http://www.wikidata.org/entity/Q2279968,Short Type 184,http://www.wikidata.org/entity/Q15105229,Maori Mk.II,9000,,936
http://www.wikidata.org/entity/Q2279968,Short Type 184,http://www.wikidata.org/entity/Q12057229,Maori,9000,,936
http://www.wikidata.org/entity/Q744635,Ми-6,http://www.wikidata.org/entity/Q1095278,Д-25,,,926
http://www.wikidata.org/entity/Q151384,Eurofighter Typhoon,http://www.wikidata.org/entity/Q1375030,Eurojet EJ200,16765,,926
http://www.wikidata.org/entity/Q837405,Локхид F-94 «Старфайр»,http://www.wikidata.org/entity/Q7238735,J48,15000,,855
http://www.wikidata.org/entity/Q837405,Локхид F-94 «Старфайр»,http://www.wikidata.org/entity/Q477394,J33,15000,,855
http://www.wikidata.org/entity/Q159067,Ту-134,http://www.wikidata.org/entity/Q1049409,Д-30,,,854
http://www.wikidata.org/entity/Q699114,Kawasaki Ki-32,http://www.wikidata.org/entity/Q3814053,Q3814053,,,854
http://www.wikidata.org/entity/Q616398,Ту-4,http://www.wikidata.org/entity/Q2451035,АШ-73,,,847
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q1529423,Junkers Jumo 207,13000,,840
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q917964,Bristol Pegasus,13000,,840
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q796376,BMW 132,13000,,840
http://www.wikidata.org/entity/Q686252,Junkers Ju 86,http://www.wikidata.org/entity/Q529545,Junkers Jumo 205,13000,,840
http://www.wikidata.org/entity/Q6273,Fiat G.50 Freccia,http://www.wikidata.org/entity/Q15142881,Fiat A.74 R1C.38,,,833
http://www.wikidata.org/entity/Q724763,Рипаблик F-105 «Тандерчиф»,http://www.wikidata.org/entity/Q688730,J75,,,833
http://www.wikidata.org/entity/Q1582144,Piper PA-31T Cheyenne,http://www.wikidata.org/entity/Q2061540,Pratt & Whitney Canada PT6,,,823
http://www.wikidata.org/entity/Q616465,ТБ-3,http://www.wikidata.org/entity/Q113174391,AM-34,,,818
http://www.wikidata.org/entity/Q173680,Су-27,http://www.wikidata.org/entity/Q1322080,АЛ-31Ф,18500,,809
http://www.wikidata.org/entity/Q170211,McDonnell F-101 Voodoo,http://www.wikidata.org/entity/Q1969611,J57,17800,,807
http://www.wikidata.org/entity/Q1393140,Fairey Albacore,http://www.wikidata.org/entity/Q917981,Bristol Taurus,,,800
http://www.wikidata.org/entity/Q332809,Грумман А-6 «Интрудер»,http://www.wikidata.org/entity/Q7238738,Pratt & Whitney J52,12400,,793
http://www.wikidata.org/entity/Q155490,Lockheed P-3 Orion,http://www.wikidata.org/entity/Q1710103,Allison 501 family,28300,,757
http://www.wikidata.org/entity/Q31461,CAC Wirraway,http://www.wikidata.org/entity/Q1852043,R-1340 Wasp,,,755
http://www.wikidata.org/entity/Q850179,Gloster Gladiator,http://www.wikidata.org/entity/Q748146,Bristol Mercury,,,747
http://www.wikidata.org/entity/Q174534,Boeing B-52 Stratofortress,http://www.wikidata.org/entity/Q2107961,Pratt & Whitney JT3D,15000,,744
http://www.wikidata.org/entity/Q1050763,De Havilland DH.89 Dragon Rapide,http://www.wikidata.org/entity/Q3703995,Gipsy Six,19350,,731
http://www.wikidata.org/entity/Q192443,Fairchild Republic A-10 Thunderbolt II,http://www.wikidata.org/entity/Q17103978,General Electric TF34,,,716
http://www.wikidata.org/entity/Q34945,Грумман F-14 «Томкэт»,http://www.wikidata.org/entity/Q1369279,General Electric F110,18000,,712
